# RxnClock fit export
# exported 2026-08-15
# mechanism: "Starting Material" -> "Product 1"
# mechanism: "Starting Material" -> "5-bromo-2-methylpyridine adduct"
# raw data
time (min),S1 = Starting Material,S2 = Product 1,S3 = 5-bromo-2-methylpyridine adduct,S4 = Mass Balance (%)
0,0.1,0,0,99.8
2,0.092,0.006,0.003,100.4
4,0.083,0.011,0.005,98.9
6,0.075,0.016,0.008,98.6
8,0.069,0.02,0.01,99.2
10,0.063,0.024,0.012,99.4
15,0.051,0.034,0.016,101.7
20,0.04,0.039,0.019,99.3
25,0.033,0.046,0.023,101.8
30,0.025,0.05,0.025,99.4
40,0.016,0.056,0.029,101.4
50,0.01,0.06,0.03,100.9
60,0.007,0.061,0.031,99.3
75,0.003,0.063,0.032,98.3

# fitted curves
time (min),S1 = Starting Material,S2 = Product 1,S3 = 5-bromo-2-methylpyridine adduct
0,0.1,0,0
0.4921875,0.09778013,0.001475734,0.0007441382
0.984375,0.09560953,0.002918708,0.001471758
1.476563,0.09348713,0.00432965,0.002183225
1.96875,0.09141183,0.005709271,0.002878898
2.460938,0.0893826,0.007058267,0.003559128
2.953125,0.08739843,0.008377316,0.004224259
3.445313,0.08545829,0.009667084,0.004874624
3.9375,0.08356123,0.01092822,0.005510551
4.429688,0.08170628,0.01216136,0.006132362
4.921875,0.0798925,0.01336713,0.00674037
5.414063,0.07811899,0.01454613,0.007334881
5.90625,0.07638485,0.01569896,0.007916194
6.398438,0.0746892,0.0168262,0.008484603
6.890625,0.0730312,0.01792841,0.009040394
7.382813,0.07141,0.01900616,0.009583847
7.875,0.06982479,0.02005998,0.01011524
8.367188,0.06827477,0.0210904,0.01063483
8.859375,0.06675915,0.02209796,0.01114289
9.351563,0.06527719,0.02308315,0.01163967
9.84375,0.06382812,0.02404646,0.01212542
10.33594,0.06241121,0.0249884,0.01260039
10.82813,0.06102576,0.02590942,0.01306482
11.32031,0.05967107,0.02681,0.01351893
11.8125,0.05834645,0.02769058,0.01396297
12.30469,0.05705123,0.02855162,0.01439714
12.79688,0.05578477,0.02939355,0.01482168
13.28906,0.05454642,0.03021678,0.0152368
13.78125,0.05333556,0.03102174,0.0156427
14.27344,0.05215158,0.03180883,0.01603959
14.76563,0.05099388,0.03257845,0.01642767
15.25781,0.04986188,0.03333098,0.01680714
15.75,0.04875501,0.03406681,0.01717818
16.24219,0.04767271,0.03478631,0.01754098
16.73438,0.04661444,0.03548983,0.01789573
17.22656,0.04557966,0.03617773,0.01824261
17.71875,0.04456785,0.03685037,0.01858178
18.21094,0.0435785,0.03750807,0.01891343
18.70313,0.04261111,0.03815117,0.01923772
19.19531,0.0416652,0.03878,0.0195548
19.6875,0.04074028,0.03939487,0.01986485
20.17969,0.0398359,0.03999609,0.02016801
20.67188,0.0389516,0.04058396,0.02046445
21.16406,0.03808692,0.04115878,0.0207543
21.65625,0.03724144,0.04172084,0.02103772
22.14844,0.03641473,0.04227043,0.02131485
22.64063,0.03560637,0.04280781,0.02158582
23.13281,0.03481595,0.04333327,0.02185078
23.625,0.03404308,0.04384706,0.02210986
24.11719,0.03328737,0.04434944,0.02236319
24.60938,0.03254843,0.04484067,0.02261089
25.10156,0.0318259,0.045321,0.0228531
25.59375,0.0311194,0.04579067,0.02308993
26.08594,0.03042859,0.04624991,0.0233215
26.57813,0.02975312,0.04669895,0.02354793
27.07031,0.02909264,0.04713803,0.02376933
27.5625,0.02844682,0.04756736,0.02398582
28.05469,0.02781533,0.04798716,0.02419751
28.54688,0.02719787,0.04839764,0.02440449
29.03906,0.02659411,0.04879901,0.02460688
29.53125,0.02600376,0.04919147,0.02480478
30.02344,0.02542651,0.04957521,0.02499828
30.51563,0.02486207,0.04995044,0.02518749
31.00781,0.02431016,0.05031734,0.0253725
31.5,0.02377051,0.05067609,0.0255534
31.99219,0.02324283,0.05102688,0.02573029
32.48438,0.02272687,0.05136988,0.02590324
32.97656,0.02222237,0.05170527,0.02607236
33.46875,0.02172906,0.05203321,0.02623773
33.96094,0.0212467,0.05235388,0.02639942
34.45313,0.02077505,0.05266742,0.02655753
34.94531,0.02031387,0.05297401,0.02671212
35.4375,0.01986293,0.05327378,0.02686329
35.92969,0.019422,0.05356691,0.02701109
